159 3324   D 159 23228 318
53 282386   D 53 478101 106
114 418031   D 114 575072 228
118 181369   D 118 407634 236
103 13902   D 103 25343 206
69 744617   D 69 750842 138
73 686095   D 73 719428 146
193 121276   D 193 364532 386
388 41812   D 388 600089 776
88 368630   D 88 430715 176
110 516997   D 110 551361 220
89 3825   D 89 9599 178
58 181310   D 58 407575 116
56 428420   D 56 661212 112
111 248426   D 111 392285 222
51 95868   D 51 110777 102
98 213612   D 98 259654 196
100 290986   D 100 555309 200
275 2029   D 275 4247 550
172 265127   D 172 466751 344
52 83560   D 52 105975 104
60 516936   D 60 551300 120
93 476880   D 93 583114 186
51 7105   D 51 17622 102
164 347631   D 164 635705 328
78 21542   D 78 722472 156
232 622416   D 232 624270 464
56 665532   D 56 717125 112
71 659545   D 71 749267 142
105 454511   D 105 457497 210
68 428500   D 68 661292 136
178 1382   D 178 3484 356
60 12926   D 60 17333 120
79 767361   D 79 767702 158
62 659107   D 62 749770 124
233 210743   D 233 425237 466
85 177144   D 85 732703 170
60 161431   D 60 711555 120
81 645714   D 81 691499 162
55 163415   D 55 313847 110
212 4376   D 212 23516 424
92 382396   D 92 418847 184
158 653708   D 158 675848 316
87 12838   D 87 17245 174
200 78644   D 200 104886 400
123 652833   D 123 736802 246
60 506024   D 60 640986 120
62 21710   D 62 722640 124
53 708237   D 53 717682 106
52 253005   D 52 556870 104
70 608125   D 70 645983 140
53 2922   D 53 27120 106
106 493037   D 106 528413 212
93 134748   D 93 433154 186
124 308618   D 124 510125 248
61 756005   D 61 761984 122
60 733026   D 60 743564 120
68 10501   D 68 26475 136
220 20725   D 220 38773 440
57 4768   D 57 23907 114
219 617352   D 219 647076 438
54 631775   D 54 633022 108
102 724148   D 102 770589 204
130 54822   D 130 62856 260
61 21773   D 61 722703 122
73 181185   D 73 407449 146
61 732933   D 61 743471 122
252 714539   D 252 742644 504
79 462463   D 79 465311 158
68 659170   D 68 749833 136
286 190216   D 286 588701 572
149 291041   D 149 291421 298
76 5159   D 76 19481 152
57 248368   D 57 392227 114
134 147410   D 134 478793 268
208 20538   D 208 25039 416
95 671361   D 95 705559 190
179 4588   D 179 23727 358
60 121673   D 60 244922 120
57 230049   D 57 695946 114
51 211955   D 51 582073 102
93 227483   D 93 658318 186
93 50333   D 93 52229 186
53 161377   D 53 711501 106
61 282662   D 61 560288 122
64 140805   D 64 563989 128
237 352672   D 237 509317 474
189 19597   D 189 22736 378
58 135798   D 58 191911 116
320 300032   D 320 327668 640
93 169538   D 93 606687 186
273 2612   D 273 26810 546
54 767565   D 54 767906 108
98 343872   D 98 508264 196
167 490664   D 167 519894 334
517 35081   D 517 35599 1034
392 89297   D 392 103658 784
369 289857   D 369 461675 738
218 24247   D 218 294849 436
78 650838   D 78 728431 156
63 210438   D 63 404939 126
173 174499   D 173 506046 346
207 141899   D 207 540427 414
80 675009   D 80 676299 160
61 629309   D 61 665868 122
181 63582   D 181 63763 362
80 140655   D 80 563839 160
91 266204   D 91 299383 182
114 143489   D 114 561652 228
123 397550   D 123 541245 246
126 272650   D 126 377414 252
69 163471   D 69 313903 138
170 230759   D 170 235799 340
267 156608   D 267 174910 534
96 322550   D 96 672504 192
56 121219   D 56 364475 112
154 205660   D 154 538429 308
57 165610   D 57 190172 114
101 386050   D 101 389973 202
107 260923   D 107 472789 214
61 116421   D 61 540830 122
210 227564   D 210 554114 420
83 490580   D 83 519810 166
116 176940   D 116 541837 232
85 319276   D 85 483045 170
139 392593   D 139 637047 278
326 211126   D 326 367025 652
81 169457   D 81 606605 162
266 173252   D 266 354867 532
62 120876   D 62 452678 124
83 659004   D 83 749667 166
282 127123   D 282 426631 564
206 263453   D 206 534811 412
255 395759   D 255 570998 510
192 171245   D 192 294420 384
180 424770   D 180 620427 360
214 135582   D 214 191695 428
100 391301   D 100 525576 200
76 118072   D 76 546529 152
194 192087   D 194 621071 388
60 155301   D 60 655191 120
260 212332   D 260 358153 520
312 135113   D 312 192938 624
223 52274   D 223 644384 446
337 324366   D 337 602226 674
62 117940   D 62 546397 124
113 429868   D 113 609327 226
95 116591   D 95 541000 190
178 205607   D 178 211612 356
76 230682   D 76 235722 152
84 95757   D 84 110666 168
248 354444   D 248 500228 496
67 190206   D 67 741430 134
107 756674   D 107 757111 214
62 30095   D 62 59481 124
67 248216   D 67 392076 134
61 665422   D 61 717015 122
143 698315   D 143 750905 286
85 48869   D 85 49487 170
402 41173   D 402 596945 804
369 363053   D 369 461677 738
79 173968   D 79 727470 158
77 655156   D 77 770741 154
96 512294   D 96 670405 192
117 699667   D 117 744830 234
53 522464   D 53 574138 106
102 210654   D 102 655213 204
57 3767   D 57 9541 114
53 158078   D 53 612746 106
60 121223   D 60 669962 120
221 127518   D 221 674138 442
53 721495   D 53 755627 106
110 121734   D 110 244983 220
83 690718   D 83 699450 166
80 192282   D 80 621266 160
74 705938   D 74 723889 148
69 176689   D 69 766201 138
77 391223   D 77 525498 154
96 308499   D 96 510006 192
206 93828   D 206 111355 412
132 690802   D 132 699534 264
132 690802   D 132 744697 264
132 699534   D 132 744697 264
211 176829   D 211 766341 422
103 290875   D 103 291255 206
205 146739   D 205 261162 410
259 182541   D 259 302259 518
51 144502   D 51 707486 102
85 120987   D 85 452789 170
316 189176   D 316 536714 632
53 282479   D 53 478194 106
300 190219   D 300 327173 600
72 531257   D 72 643061 144
68 48955   D 68 49573 136
53 653819   D 53 764070 106
58 440869   D 58 716244 116
147 255964   D 147 319362 294
74 674934   D 74 676224 148
62 360568   D 62 562754 124
149 54633   D 149 62667 298
186 621040   D 186 621880 372
303 171907   D 303 348222 606
171 531330   D 171 643134 342
68 210367   D 68 404867 136
86 566444   D 86 682309 172
56 7048   D 56 17565 112
85 270860   D 85 322181 170
53 566390   D 53 682255 106
52 20946   D 52 38994 104
87 275092   D 87 280743 174
84 85614   D 84 102093 168
87 6891   D 87 17408 174
193 285265   D 193 558634 386
53 382226   D 53 418678 106
68 232182   D 68 550431 136
57 653880   D 57 676020 114
55 417871   D 55 574912 110
103 3663   D 103 9437 206
63 6979   D 63 17496 126
82 518881   D 82 707837 164
71 174113   D 71 397144 142
64 284366   D 64 723575 128
77 264463   D 77 513965 154
83 205523   D 83 538292 166
85 460165   D 85 533723 170
52 97314   D 52 105554 104
50 164182   D 50 577309 100
50 322496   D 50 672450 100
