# argv[0]=/opt/genometools/testsuite/../bin/gt smax
8 1632   D 8 1633 16
10 1634   D 10 1824 20
8 620   D 8 1501 16
8 2684   D 8 2916 16
8 1637   D 8 1897 16
8 1637   D 8 8675 16
8 1897   D 8 8675 16
8 854   D 8 2001 16
8 854   D 8 2186 16
8 2001   D 8 2186 16
8 4238   D 8 7624 16
8 2063   D 8 2685 16
10 239   D 10 1828 20
9 6972   D 9 7119 18
8 5036   D 8 8420 16
8 132   D 8 2372 16
7 1349   D 7 3600 14
7 3600   D 7 8283 14
7 1349   D 7 8283 14
8 855   D 8 1832 16
8 2002   D 8 4688 16
8 3076   D 8 6174 16
8 3076   D 8 7625 16
8 6174   D 8 7625 16
8 1626   D 8 1801 16
8 1981   D 8 2686 16
7 4196   D 7 8672 14
11 4490   D 11 5387 22
9 999   D 9 6973 18
8 8421   D 8 9185 16
10 133   D 10 6797 20
9 3601   D 9 5621 18
9 1350   D 9 9818 18
11 856   D 11 4234 22
8 1376   D 8 1833 16
8 4397   D 8 6585 16
8 244   D 8 2085 16
8 1627   D 8 5896 16
9 5736   D 9 9088 18
8 3597   D 8 8673 16
8 237   D 8 8446 16
8 1979   D 8 7362 16
8 2732   D 8 9183 16
8 9183   D 8 9753 16
8 2732   D 8 9753 16
9 3488   D 9 4223 18
7 684   D 7 3486 14
7 684   D 7 6824 14
7 3486   D 7 6824 14
9 5455   D 9 7111 18
8 1857   D 8 2767 16
8 1857   D 8 4521 16
8 2767   D 8 4521 16
7 1183   D 7 6215 14
7 1183   D 7 2226 14
7 1183   D 7 2381 14
7 1183   D 7 9793 14
7 2226   D 7 6215 14
7 2381   D 7 6215 14
7 6215   D 7 9793 14
7 2226   D 7 2381 14
7 2226   D 7 9793 14
7 2381   D 7 9793 14
8 6662   D 8 7113 16
9 1351   D 9 7668 18
8 5921   D 8 8608 16
9 13   D 9 3073 18
9 138   D 9 6360 18
8 4226   D 8 9083 16
7 2705   D 7 3491 14
7 1185   D 7 3491 14
7 1185   D 7 2705 14
8 245   D 8 9941 16
10 2086   D 10 6071 20
8 1628   D 8 4836 16
9 2024   D 9 7115 18
8 4248   D 8 7081 16
11 255   D 11 9785 22
8 3162   D 8 4323 16
9 937   D 9 1614 18
7 1983   D 7 6576 14
7 1983   D 7 2419 14
7 1983   D 7 5838 14
7 1983   D 7 6853 14
7 2419   D 7 6576 14
7 5838   D 7 6576 14
7 6576   D 7 6853 14
7 2419   D 7 5838 14
7 2419   D 7 6853 14
7 5838   D 7 6853 14
8 1631   D 8 7479 16
8 1500   D 8 8610 16
8 2683   D 8 8131 16
8 1799   D 8 2062 16
8 1799   D 8 5360 16
8 2062   D 8 5360 16
8 7118   D 8 9390 16
8 2371   D 8 5035 16
8 15   D 8 1831 16
8 235   D 8 1977 16
9 1928   D 9 6362 18
9 2309   D 9 4224 18
8 250   D 8 2084 16
9 6588   D 9 8716 18
9 6593   D 9 7490 18
7 2183   D 7 2313 14
7 2313   D 7 9187 14
7 2183   D 7 9187 14
7 944   D 7 8445 14
7 6337   D 7 8445 14
7 944   D 7 6337 14
9 135   D 9 744 18
9 12   D 9 2235 18
9 679   D 9 5623 18
9 137   D 9 247 18
7 1184   D 7 1958 14
7 1184   D 7 8847 14
7 1958   D 7 8847 14
8 2809   D 8 7738 16
10 7144   D 10 9820 20
9 254   D 9 7669 18
8 8130   D 8 8609 16
8 7148   D 8 8609 16
8 7148   D 8 8130 16
8 1378   D 8 7117 16
9 3074   D 9 6035 18
8 1931   D 8 1976 16
9 4488   D 9 7374 18
9 681   D 9 6403 18
9 4395   D 9 6361 18
8 249   D 8 6495 16
10 258   D 10 4227 20
10 5892   D 10 9084 20
10 5453   D 10 9198 20
8 743   D 8 2706 16
8 4250   D 8 4456 16
10 6072   D 10 6560 20
10 6072   D 10 7269 20
10 6560   D 10 7269 20
8 6952   D 8 7737 16
8 1629   D 8 7147 16
8 1629   D 8 5299 16
8 5299   D 8 7147 16
8 6284   D 8 8363 16
7 2811   D 7 4819 14
7 4819   D 7 7654 14
7 2811   D 7 7654 14
8 1433   D 8 6591 16
8 6591   D 8 7413 16
8 1433   D 8 7413 16
13 5616   D 13 8559 26
9 940   D 9 9317 18
8 1570   D 8 9932 16
9 7702   D 9 9090 18
8 5032   D 8 7452 16
7 4068   D 7 4818 14
10 938   D 10 9195 20
8 4066   D 8 4549 16
8 2500   D 8 4549 16
8 2500   D 8 4066 16
7 4548   D 7 6577 14
# TIME finding supermaximal repeats 0.00
# TIME overall 0.00
